Unnamed: 0,Sentiment,EMA,SMA,Index_EMA,Index_SMA,percent_difference
2017-02-16,0.2252695707070707,824.2491,827.2439999999999,231.7015,231.08700000000002,-0.004128930000695641
2017-02-17,0.11023556998556998,826.232,829.081,232.1575,231.5065,0.7407739422081994
2017-02-21,0.20249518398268399,829.1089999999999,831.0089999999999,232.7063,232.024,-0.03806949315566019
2017-02-22,0.149988011988012,831.6329,832.6675,233.1895,232.465,-0.4796206186153463
2017-02-23,0.1982385642135642,833.5907,833.451,233.6448,232.8225,-0.9374099294986736
2017-02-24,0.11290710678210678,834.7002,833.7555,234.0844,233.19799999999998,0.2469600770779849
2017-02-27,0.23859383116883115,836.0278,834.3989999999999,234.5173,233.6095,-0.17277286842711048
2017-02-28,0.2285514069264069,836.8861,835.132,234.8518,234.0595,-0.38873295418132414
2017-03-01,0.1009647667147667,838.4283,836.612,235.4583,234.674,0.08742046703579015
2017-03-02,0.228045183982684,839.4266,837.44,235.8747,235.213,0.0558894919920437
2017-03-03,0.1766926406926407,840.4222,837.9365,236.2647,235.755,-0.09305707188234452
2017-03-06,0.14432391774891776,841.0115,839.757,236.5509,236.179,0.2228668224586426
2017-03-07,0.14297510822510823,841.4885,841.676,236.7432,236.5885,0.7307371183607342
2017-03-08,0.14354433621933624,842.3467,843.576,236.8715,236.9745,0.1973426131424317
2017-03-09,0.07143560606060606,843.3613,845.2405,237.0094,237.358,-0.41157721085504057
2017-03-10,0.0760909090909091,844.2279,846.7955,237.2133,237.7155,0.1913244314548157
2017-03-13,0.2535878787878788,845.2147,848.1519999999999,237.4111,238.0345,0.1141662541432108
2017-03-14,0.13089963924963927,845.9114,848.952,237.5091,238.2465,-0.7662047157177827
2017-03-15,0.14501319143819147,846.5837,849.7810000000001,237.7834,238.50900000000001,0.18171394923306197
2017-03-16,0.1581753246753247,847.2347,850.317,238.0022,238.696,0.0740337185066976
2017-03-17,0.12908549783549783,847.7181,850.7255,238.1534,238.8645,0.6830238910429621
2017-03-20,0.1843919552669553,848.5992,851.3205,238.2591,239.0032,-0.351513475210866
2017-03-21,0.17029848484848484,848.085,850.6585,238.0687,238.9202,0.3562792077232476
2017-03-22,0.13458871753246754,848.0826,850.2810000000001,237.946,238.8702,0.02962356558158092
2017-03-23,0.13881556637806639,848.0157,850.0405,237.8102,238.7977,0.26888173256011905
2017-03-24,0.19254601370851368,847.7866,850.059,237.5797,238.6542,0.2875331093464037
2017-03-27,0.19279424603174605,847.6945,849.9680000000001,237.3388,238.4752,0.34804202934148804
2017-03-28,0.17105989982239983,848.4855,850.5160000000001,237.2855,238.4127,1.9923703773288584
2017-03-29,0.1391861471861472,850.946,851.578,237.2707,238.2082,-0.021989075085637102
2017-03-30,0.12990846560846564,853.3644,852.9495,237.3145,238.1032,1.3574286314176045
2017-03-31,0.12464402056277059,856.5239999999999,854.7825,237.3102,237.9682,0.72919071564805
2017-04-03,0.12473286435786436,859.8560000000001,857.0275,237.2683,237.8482,1.6719937964002771
2017-04-04,0.18531872294372292,864.3297,860.068,237.2409,237.7687,0.5655554942320938
2017-04-05,0.08985584415584416,868.6107,863.007,237.1493,237.6782,-1.4721489140687063
2017-04-06,0.16493416305916306,871.4364,865.2710000000001,237.1256,237.6072,-0.2856349472383137
2017-04-07,0.1123181818181818,873.6691,867.3919999999999,237.0832,237.4837,1.287014469576627
2017-04-10,0.10895325276575278,876.8473,870.0145,237.06099999999998,237.3617,-0.3893015702322493
2017-04-11,0.1432072510822511,879.2771,872.5060000000001,237.0123,237.2672,-0.2734958957618683
2017-04-12,0.09154004329004328,880.8916,874.669,236.8768,237.0272,-0.6276801475997353
2017-04-13,0.13378795093795093,881.2515,876.2315,236.6057,236.7247,1.0903820100015928
2017-04-17,0.13894637445887448,883.2266,878.7155,236.5537,236.5482,0.4992210841079103
2017-04-18,0.1423573015873016,885.184,881.056,236.4391,236.3525,-0.3325518693592221
2017-04-19,0.17713466810966805,886.5189,883.8560000000001,236.2963,236.2865,-0.443836156244337
2017-04-20,0.09410353535353537,887.9989999999999,886.556,236.3376,236.28400000000002,-0.13787321807101915
2017-04-21,0.11736291486291489,889.0019,889.1135,236.3179,236.2645,-0.0746929268906229
2017-04-24,0.15108982683982683,890.7551,892.2035,236.53900000000002,236.42700000000002,-0.5677053484363319
2017-04-25,0.14468593073593072,892.3613,895.2435,236.8734,236.67700000000002,0.22565569621120496
2017-04-26,0.07083095238095238,893.9735,897.908,237.1664,236.8355,0.9413355812022338
2017-04-27,0.10412909451659452,896.298,900.1110000000001,237.4448,236.9835,0.9404961909364656
2017-04-28,0.04782619047619047,899.0305,902.5435,237.6463,237.075,2.2369545014878818
2017-05-01,0.15525227272727274,903.7162,905.628,237.8914,237.2225,-0.173508599649353
2017-05-02,0.1107180735930736,907.8328,908.3995,238.1217,237.3945,-0.524244572305964
2017-05-03,0.1819770923520924,910.9944,910.1095,238.3073,237.549,-0.4385801099466333
2017-05-04,0.1296790404040404,913.5216,911.5219999999999,238.4904,237.7465,-0.7892775723507808
2017-05-05,0.12217234848484848,915.4862,913.3155,238.7542,237.9645,1.6312665789303475
2017-05-08,0.11974954648526079,918.6818,916.0235,238.9843,238.18900000000002,0.4729333754458859
2017-05-09,0.10863495670995672,921.9331,918.3125,239.1753,238.396,-0.5679952001482425
2017-05-10,0.08175873015873016,924.5061,920.6419999999999,239.3853,238.6375,0.042130285414597866
2017-05-11,0.13658506493506495,926.7074,923.2115,239.5333,238.905,1.60245821914302
2017-05-12,0.1430407647907648,930.0067,927.0455,239.6321,239.232,-0.8587178136172693
2017-05-15,0.11868409090909092,932.6699,929.8445,239.8376,239.5185,0.9282543672782158
2017-05-16,0.12463598484848486,935.8509,932.959,240.0045,239.8305,-0.4466655230412424
2017-05-17,0.12157723665223667,936.6993,935.237,239.7507,239.9505,1.095143132260167
2017-05-18,0.17334343434343438,938.7746,938.0585,239.6021,240.0235,-0.5602744139903639
2017-05-19,0.19774114219114222,940.7809,941.1239999999999,239.6266,240.21,0.6530358071157424
2017-05-22,0.08023365800865802,943.6275,944.2869999999999,239.7574,240.328,-0.12613882176690844
2017-05-23,0.05179166666666667,946.2858,947.4830000000001,239.9253,240.4015,0.658381117188093
2017-05-24,0.015616161616161618,949.53,951.0360000000001,240.1343,240.51,0.8541460633211935
2017-05-25,0.13056410533910534,953.7062,954.7860000000001,240.433,240.669,0.2580420237027348
2017-05-26,0.11435346320346321,957.7132,958.3255,240.6993,240.8525,0.15405990957290785
2017-05-30,0.1364962121212121,961.4262,960.7489999999999,240.9261,240.9955,-0.1346389770461724
2017-05-31,0.09230689033189034,964.5876,963.133,241.1141,241.125,-0.6855477777151535
2017-06-01,0.19464166666666669,967.5745,965.8789999999999,241.4737,241.36599999999999,0.7638733022114516
2017-06-02,0.08663625541125543,971.3036,969.3389999999999,241.8733,241.638,0.5230462277026384
2017-06-05,0.19377889610389612,975.1165,973.1985,242.2197,241.8505,-0.5558203325275093
2017-06-06,0.13271881313131315,977.7721,975.8965,242.4702,242.0345,0.5415200182584802
2017-06-07,0.09025631313131313,980.8481,978.7589999999999,242.7349,242.2475,-0.008741695893003668
2017-06-08,0.09027267316017315,983.6502,981.825,242.9811,242.4445,-3.0086110218414026
2017-06-09,0.14532454906204906,983.1416,983.3595,243.1677,242.6445,-1.3574610905043305
2017-06-12,0.0838232323232323,981.4053,983.5375,243.3336,242.8615,1.1557734349806612
2017-06-13,0.1958380230880231,981.3467,984.6785,243.59799999999998,243.0775,-0.3307542192535694
2017-06-14,0.16903544372294377,980.8822,985.1985,243.8116,243.29,-1.0725257432342377
2017-06-15,0.20406060606060605,979.2906,986.169,243.9609,243.692,2.5229843977916917
2017-06-16,0.09879823833573834,980.0924,987.63,244.077,244.0415,-0.14609615804966206
2017-06-19,0.13370523088023087,981.5284,989.3965,244.3926,244.418,0.3915421043444207
2017-06-20,0.09751641414141414,982.5819,990.4925,244.5247,244.657,1.0118833596251628
2017-06-21,0.12911869496244496,984.4531,992.0269999999999,244.6347,244.865,-0.06023038828557348
2017-06-22,0.11412141053391053,986.0576,993.0745,244.7267,245.03900000000002,0.14189168088000806
2017-06-23,0.14599945887445887,987.7416,993.5925,244.8336,245.168,-1.0333761737204152
2017-06-26,0.15406641414141414,988.3358,993.5025,244.9447,245.3065,-0.5271650784879458
2017-06-27,0.09835395622895624,987.2352,992.5065,244.7633,245.3045,0.5396139369996257
2017-06-28,0.10795440115440115,987.53,992.2919999999999,244.7954,245.4145,-0.6095075240488741
2017-06-29,0.10370133477633478,986.4252,991.291,244.6273,245.3215,-0.9689175749514296
2017-06-30,0.14412247474747475,984.6704,989.3545,244.5113,245.2085,-1.6703865124347281
2017-07-03,0.11546015512265512,981.717,986.4705,244.4502,245.1265,1.646973389679237
2017-07-05,0.10293979076479076,980.7345,984.8905,244.4445,245.1035,0.25576978065154576
2017-07-06,0.16234704184704185,979.2493,982.6439999999999,244.2298,244.9505,0.7835878061809053
2017-07-07,0.10529076479076478,979.2027,981.0685,244.1803,244.87,1.7150578815144912
2017-07-10,0.10682839105339106,980.8472,981.9765,244.1574,244.82,-0.1856365218133693
2017-07-11,0.11016810966810966,982.1122,983.4375,244.1253,244.7655,0.494756282374828
2017-07-12,0.15432175324675326,984.4358,984.7235,244.2705,244.7425,-0.7388885127613635
2017-07-13,0.11929583333333334,985.9781,985.9315,244.4381,244.752,-0.3169806054336341
2017-07-14,0.14393777056277057,987.4859,987.8135,244.6916,244.838,0.8012783385746397
2017-07-17,0.1572916666666667,989.6339,988.93,244.9257,244.9365,1.3417075287159652
2017-07-18,0.1485299422799423,992.9497,990.3939999999999,245.1575,244.935,-0.2731547272044679
2017-07-19,0.09259989177489177,996.1802,992.1080000000001,245.4873,245.077,0.12994502742287067
2017-07-20,0.0535387506012506,999.2774,993.4315,245.7971,245.23,-0.2181615347182386
2017-07-21,0.16320962000962005,1001.7909,994.65,246.0593,245.3775,1.3189034350033064
